areaId,category,zonedSchool,schoolNo,boundaryDistanceM,anchorSource
albert-park-2br,primary,Albert Park Primary School,,286.2,locality-representative-point
albert-park-2br,secondary,Albert Park College,,498.3,locality-representative-point
armadale-2br,primary,Armadale Primary School,,414.2,station
armadale-2br,secondary,Auburn High School,,557.5,station
ascot-vale-2br,primary,Ascot Vale Primary School,,234.3,station
ascot-vale-2br,secondary,Mount Alexander 7-12 College,,896.7,station
ashburton-villa,primary,Ashburton Primary School,,589.2,station
ashburton-villa,secondary,Ashwood High School,,993.1,station
balaclava-2br,primary,St Kilda Primary School,,448.5,station
balaclava-2br,secondary,Elwood College,,841.8,station
balwyn-2br,primary,Balwyn Primary School,,198.3,locality-representative-point
balwyn-2br,secondary,Balwyn High School,,460.1,locality-representative-point
balwyn-north-2br,primary,Boroondara Park Primary School,,352.7,locality-representative-point
balwyn-north-2br,secondary,Balwyn High School,,896.9,locality-representative-point
bentleigh-house,primary,Bentleigh West Primary School,,334.7,station
bentleigh-house,secondary,McKinnon Secondary College,,78.7,station
black-rock-house,primary,Black Rock Primary School,,486.1,station
black-rock-house,secondary,Beaumaris Secondary College,,448.0,station
blackburn-house,primary,Blackburn Primary School,,264.2,station
blackburn-house,secondary,Blackburn High School,,37.3,station
bonbeach-2br,primary,Bonbeach Primary School,,121.2,station
bonbeach-2br,secondary,Patterson River Secondary College,,390.1,station
box-hill-2br,primary,Mont Albert Primary School,,86.9,station
box-hill-2br,secondary,Box Hill High School,,228.1,station
braybrook-villa,primary,Sunshine Harvester Primary School,,1.2,station
braybrook-villa,secondary,Braybrook College,,894.2,station
brighton-house,primary,Brighton Beach Primary School,,303.9,station
brighton-house,secondary,Brighton Secondary College,,303.9,station
brunswick-east-2br,primary,Brunswick East Primary School,,453.2,locality-representative-point
brunswick-east-2br,secondary,Northcote High School,,465.0,locality-representative-point
bulleen-house,primary,Belle Vue Primary School,,9.8,station
bulleen-house,secondary,Viewbank College,,62.1,station
bundoora-house,primary,Bundoora Primary School,,349.6,station
bundoora-house,secondary,Bundoora Secondary College,,1456.4,station
burnley-2br,primary,Richmond Primary School,,222.8,station
burnley-2br,secondary,Richmond High School,,458.3,station
burwood-house,primary,Essex Heights Primary School,,196.6,station
burwood-house,secondary,Ashwood High School,,668.9,station
camberwell-2br,primary,Camberwell Primary School,,193.0,station
camberwell-2br,secondary,Camberwell High School,,357.9,station
carlton-2br,primary,Carlton Gardens Primary School,,151.2,locality-representative-point
carlton-2br,secondary,University High School,,319.0,locality-representative-point
carlton-north-2br,primary,Carlton North Primary School,,76.9,locality-representative-point
carlton-north-2br,secondary,Princes Hill Secondary College,,565.5,locality-representative-point
chelsea-2br,primary,Chelsea Primary School,,451.7,station
chelsea-2br,secondary,Patterson River Secondary College,,449.5,station
clifton-hill-2br,primary,Clifton Hill Primary School,,50.4,station
clifton-hill-2br,secondary,Fitzroy High School,,526.3,station
craigieburn-townhouse,primary,Craigieburn South Primary School,,782.9,station
craigieburn-townhouse,secondary,Craigieburn Secondary College,,1213.7,station
cremorne-2br,primary,Richmond Primary School,,51.9,station
cremorne-2br,secondary,Richmond High School,,644.3,station
docklands-2br,primary,Docklands Primary School,,538.3,station
docklands-2br,secondary,University High School,,544.9,station
doncaster-villa,primary,Birralee Primary School,,266.8,station
doncaster-villa,secondary,Koonung Secondary College,,328.5,station
donnybrook-house-land,primary,Gilgai Plains Primary School,,573.0,station
donnybrook-house-land,secondary,Ngayuk College,,1970.0,station
east-melbourne-2br,primary,Carlton Gardens Primary School,,506.2,station
east-melbourne-2br,secondary,Collingwood College,,259.4,station
elsternwick-2br,primary,Elsternwick Primary School,,184.2,station
elsternwick-2br,secondary,Elwood College,,932.4,station
eltham-house,primary,Eltham East Primary School,,367.0,station
eltham-house,secondary,Eltham High School,,894.4,station
eltham-north-house,primary,Eltham North Primary School,,67.2,station
eltham-north-house,secondary,St Helena Secondary College,,886.2,station
elwood-2br,primary,St Kilda Primary School,,448.5,station
elwood-2br,secondary,Elwood College,,841.8,station
essendon-2br,primary,Essendon Primary School,,525.8,station
essendon-2br,secondary,Buckley Park College,,143.2,station
essendon-west-house,primary,Aberfeldie Primary School,,704.2,station
essendon-west-house,secondary,Rosehill Secondary College,,685.1,station
established-western-value,primary,St Albans Primary School,,168.0,station
established-western-value,secondary,St Albans Secondary College,,1089.1,station
fairfield-house,primary,Fairfield Primary School,,372.2,station
fairfield-house,secondary,Northcote High School,,109.7,station
fawkner-house,primary,Fawkner Primary School,,25.9,station
fawkner-house,secondary,John Fawkner Secondary College,,808.7,station
fitzroy-2br,primary,Fitzroy Primary School,,309.5,locality-representative-point
fitzroy-2br,secondary,Collingwood College,,549.4,locality-representative-point
fitzroy-north-2br,primary,Fitzroy North Primary School,,283.1,locality-representative-point
fitzroy-north-2br,secondary,Fitzroy High School,,491.3,locality-representative-point
footscray-station-2br,primary,Footscray City Primary School,,59.8,station
footscray-station-2br,secondary,Footscray High School,,123.9,station
frankston-middle-ring,primary,Moorabbin Primary School,,434.9,station
frankston-middle-ring,secondary,Sandringham College,,78.1,station
glen-waverley-2br,primary,Glen Waverley Primary School,,570.8,station
glen-waverley-2br,secondary,Glen Waverley Secondary College,,919.8,station
growth-corridor-stress-test,primary,Baden Powell P-9 College,,4.6,station
growth-corridor-stress-test,secondary,Baden Powell P-9 College,,3.8,station
hawthorn-2br,primary,Hawthorn West Primary School,,254.0,station
hawthorn-2br,secondary,Richmond High School,,470.3,station
hawthorn-east-2br,primary,Auburn Primary School,,294.8,station
hawthorn-east-2br,secondary,Auburn High School,,492.5,station
heidelberg-3br-townhouse,primary,Heidelberg Primary School,,610.0,station
heidelberg-3br-townhouse,secondary,Viewbank College,,136.3,station
inner-abbotsford-2br,primary,Collingwood College,,111.3,station
inner-abbotsford-2br,secondary,Collingwood College,,530.5,station
inner-collingwood-2br,primary,Collingwood College,,111.3,station
inner-collingwood-2br,secondary,Collingwood College,,530.5,station
inner-lowcar-benchmark,primary,Kensington Primary School,,480.8,station
inner-lowcar-benchmark,secondary,Mount Alexander 7-12 College,,663.2,station
inner-richmond-2br,primary,Richmond Primary School,,51.9,station
inner-richmond-2br,secondary,Richmond High School,,644.3,station
inner-se-apartment-corridor,primary,Carnegie Primary School,,522.0,station
inner-se-apartment-corridor,secondary,Glen Eira College,,1559.8,station
inner-south-yarra-2br,primary,Toorak Primary School,,23.5,station
inner-south-yarra-2br,secondary,Prahran High School,,602.2,station
