id,suburb,salCodes,greenspace,localOpenSpaceAccess,majorParkAccess,natureCorridorAccess,localCoverageWithin400mPct,medianLocalDistanceM,medianMajorParkDistanceM,medianNatureDistanceM,residentialSampleCount,residentialPopulationWeight,censusPopulation2021,residentialPopulationCoveragePct,componentSpread,reviewFlags,rank
burnley-2br,Burnley,20418,10.0,10.0,10.0,10.0,100.0,88.10334212648301,213.28836148667762,221.714417338617,11,782,794,98.5,0.0,,1
st-kilda-west-2br,St Kilda West,22345,9.9957,10.0,10.0,9.9784,100.0,92.86778036742085,114.27405895918326,211.27207649590827,53,2947,2951,99.9,0.0,,2
keilor-house,Keilor,21314,9.9944,10.0,9.9969,9.9764,100.0,103.57713551231546,137.7932098749432,137.7932098749432,53,5738,5906,97.2,0.0,,3
cairnlea-house,Cairnlea,20441,9.9872,10.0,9.9664,9.9865,100.0,88.81226516729505,158.76161060524046,156.50295716021267,74,10029,10038,99.9,0.0,,4
inner-abbotsford-2br,Abbotsford,20002,9.9773,10.0,9.942,9.9734,100.0,63.501167401421405,192.3385307272499,142.88997572023632,71,8564,9088,94.2,0.1,,5
bonbeach-2br,Bonbeach,20278,9.9764,10.0,9.9528,9.9528,100.0,114.86156307030296,188.6482218720636,188.6482218720636,80,6500,6855,94.8,0.0,,6
middle-park-2br,Middle Park,21677,9.9742,10.0,10.0,9.8712,100.0,140.42557765483457,182.05459499198835,337.0960455309551,52,3994,4000,99.9,0.1,,7
viewbank-house,Viewbank,22633,9.9657,10.0,9.9618,9.8859,100.0,99.58632563532913,193.8429067011545,218.11089633132138,68,7009,7030,99.7,0.1,,8
coburg-north-house,Coburg North,20597,9.9642,10.0,9.9512,9.8942,100.0,101.72892850970872,150.94152902393057,170.4886162695753,79,7845,8327,94.2,0.1,,9
watsonia-north-house,Watsonia North,22722,9.9631,10.0,9.9691,9.8617,100.0,113.58276493241918,230.43161550364334,235.76398887118003,37,3782,3799,99.6,0.1,,10
bundoora-house,Bundoora,20399,9.9258,10.0,9.7806,9.9582,100.0,89.8978467547995,228.3054504476314,183.06595019361805,247,27311,28068,97.3,0.2,,11
epping-house,Epping,20878,9.9234,10.0,9.8376,9.8604,99.2,93.82374007284659,231.4403255785192,211.56890992053673,292,33415,33489,99.8,0.2,,12
essendon-west-house,Essendon West,20888,9.9165,10.0,9.7511,9.9558,100.0,107.08115344874987,284.57626912733707,224.8058996387437,16,1565,1559,100.4,0.2,,13
port-melbourne-2br,Port Melbourne,22107,9.9136,10.0,9.9492,9.644,100.0,97.89138719349637,203.61688110829797,248.28147298434232,148,16800,17633,95.3,0.4,,14
clifton-hill-2br,Clifton Hill,20574,9.9123,10.0,10.0,9.5614,100.0,153.86507205127646,182.68692439634427,312.45293882493934,74,6532,6606,98.9,0.4,,15
maribyrnong-2br,Maribyrnong,21604,9.8966,10.0,9.8097,9.7686,96.6,104.87592465073965,265.42287054967835,254.94649072998254,119,12531,12573,99.7,0.2,,16
deer-park-house,Deer Park,20729,9.896,10.0,9.88,9.6602,98.9,124.19984453793285,265.2305174228871,370.470744327978,161,18124,18145,99.9,0.3,,17
hoppers-crossing-house,Hoppers Crossing,21203,9.8862,10.0,9.7456,9.8127,98.0,116.7477410737552,297.43739828232464,250.01735283425893,356,37157,37216,99.8,0.3,,18
albion-house,Albion,20021,9.8788,10.0,9.7949,9.7015,100.0,161.30322844641768,340.9683843301509,357.14635160243205,48,4331,4334,99.9,0.3,,19
elwood-2br,Elwood,20867,9.8636,10.0,9.7773,9.6518,98.9,137.9490003543695,282.2865880333312,280.16668108765714,213,15086,15153,99.6,0.3,,20
heidelberg-west-house,Heidelberg West,21169,9.841,10.0,9.8818,9.3824,98.9,151.9866582067367,289.070253666073,353.95275856356983,58,5246,5252,99.9,0.6,,21
spotswood-2br,Spotswood,22319,9.8398,10.0,9.8618,9.4061,100.0,143.3083812090615,334.1236101625489,491.3350745653535,26,2795,2820,99.1,0.6,,22
blackburn-south-house,Blackburn South,20254,9.8375,10.0,9.5606,9.8464,98.7,161.53508054617205,398.5971045371059,328.38267234370784,102,10834,10939,99.0,0.4,,23
sunbury-house,Sunbury,22391,9.8353,10.0,9.5878,9.795,98.7,102.94071908205369,246.59934384260438,213.28698438736487,362,37925,37925,100.0,0.4,,24
